symbol,time,action,price,actual_price,shares,gross_value,commission,slippage_cost,net_value,gross_pnl,net_pnl,gross_return,net_return
ADSK,2023-12-19 15:44:00,BUY,238.68,238.91867999999997,229,54712.37771999999,1.145,54.657719999990746,54713.522719999986,,,,
ADSK,2023-12-20 15:00:00,NEXT_DAY_EXIT,241.36,241.11864000000003,229,55216.168560000006,1.145,55.2714399999968,55215.02356000001,613.7200000000016,501.50084000000487,0.011228422993128904,0.009165939516752887
LULU,2024-01-04 16:03:00,BUY,497.64,498.1376399999999,30,14944.129199999998,1.0,14.92919999999799,14945.129199999998,,,,
LULU,2024-01-05 15:00:00,NEXT_DAY_EXIT,493.7,493.2063,30,14796.189,1.0,14.810999999999694,14795.189,-118.19999999999993,-149.94019999999963,-0.0079173699863355,-0.010032713534520642
ABBV,2024-01-10 15:48:00,BUY,164.6351,164.79973509999996,76,12524.779867599997,1.0,12.512267599997699,12525.779867599997,,,,
ABBV,2024-01-11 15:00:00,NEXT_DAY_EXIT,163.655,163.491345,76,12425.34222,1.0,12.43778000000043,12424.34222,-74.48759999999947,-101.4376475999999,-0.005953165515737489,-0.00809830993935836
ARE,2024-01-11 15:52:00,BUY,126.35,126.47634999999998,189,23904.030149999995,1.0,23.880149999997727,23905.030149999995,,,,
ARE,2024-01-12 15:00:00,NEXT_DAY_EXIT,126.6,126.4734,189,23903.4726,1.0,23.927399999999295,23902.4726,47.25,-2.5575499999992957,0.0019786307874950534,-0.00010698794287022875
MDB,2024-01-16 16:04:00,BUY,399.51,399.90950999999995,30,11997.2853,1.0,11.985299999998915,11998.2853,,,,
MDB,2024-01-17 15:00:00,NEXT_DAY_EXIT,395.735,395.339265,30,11860.177950000001,1.0,11.872050000000058,11859.177950000001,-113.24999999999932,-139.10734999999937,-0.00944907511701829,-0.011593935843482516
PLTR,2024-01-23 15:56:00,BUY,17.3,17.3173,926,16035.8198,4.63,16.019799999998853,16040.449799999999,,,,
PLTR,2024-01-24 15:00:00,NEXT_DAY_EXIT,16.93,16.91307,926,15661.502820000002,4.63,15.677179999998664,15656.872820000002,-342.6200000000009,-383.5769799999996,-0.021387283236994275,-0.02391310622723308
SEDG,2024-01-24 15:43:00,BUY,70.975,71.04597499999998,200,14209.194999999996,1.0,14.194999999998004,14210.194999999996,,,,
SEDG,2024-01-25 15:00:00,NEXT_DAY_EXIT,69.84,69.77016,200,13954.032000000001,1.0,13.967999999999847,13953.032000000001,-226.99999999999818,-257.162999999998,-0.015991546319126325,-0.018097077485565684
ATXS,2024-01-30 15:38:00,BUY,12.78,12.792779999999999,2744,35103.38832,13.72,35.06831999999821,35117.10832,,,,
ATXS,2024-01-31 15:00:00,NEXT_DAY_EXIT,12.84,12.82716,2744,35197.72704,13.72,35.232960000001725,35184.00704,164.64000000000135,66.89871999999963,0.004694835680751213,0.0019050179015422883
MSTR,2024-01-30 16:05:00,BUY,51.965,52.016965,233,12119.952845,1.165,12.107844999998974,12121.117845,,,,
MSTR,2024-01-31 15:00:00,NEXT_DAY_EXIT,51.75,51.69825,233,12045.69225,1.165,12.05774999999963,12044.52725,-50.095000000000795,-76.59059500000042,-0.004137400173193561,-0.006318773233575505
BE,2024-02-15 16:05:00,BUY,11.935,11.946935,1058,12639.85723,5.29,12.627229999999326,12645.14723,,,,
BE,2024-02-16 09:55:00,STOP_LOSS,9.69,9.680309999999999,1058,10241.767979999999,5.29,10.252020000000915,10236.477979999998,-2375.210000000001,-2408.6692500000017,-0.18810222036028496,-0.1904817086103632
LUNG,2024-02-21 15:42:00,BUY,14.36,14.374359999999998,944,13569.395839999997,4.72,13.555839999998256,13574.115839999997,,,,
LUNG,2024-02-22 12:35:00,STOP_LOSS,11.76,11.74824,944,11090.338559999998,4.72,11.101440000000622,11085.618559999999,-2454.3999999999996,-2488.4972800000005,-0.181058495821727,-0.18332665709739518
